name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,csharp,1,12,747,0.047,15796,0,18%,0.043
binarytrees,csharp,1,16,747,0.718,30844,0,24%,0.706
binarytrees,csharp,1,20,747,40.233,272032,0,21%,44.532
binarytrees,csharp,1,20,747,37.222,361652,0,22%,40.099
binarytrees,csharp,1,20,747,40.451,274460,0,21%,44.774
binarytrees,csharp,1,20,747,36.145,398412,0,22%,38.896
binarytrees,csharp,1,20,747,38.657,410784,0,21%,42.171
binarytrees,csharp,1,20,747,37.269,392272,0,21%,40.295
binarytrees,csharp,2,12,745,0.047,14912,0,10%,0.07
binarytrees,csharp,2,16,745,0.905,29460,0,25%,0.906
binarytrees,csharp,2,20,745,30.701,322640,0,22%,32.852
binarytrees,csharp,2,20,745,30.233,308460,0,22%,32.717
binarytrees,csharp,2,20,745,30.061,303848,0,22%,32.238
binarytrees,csharp,2,20,745,30.186,333008,0,22%,32.369
binarytrees,csharp,2,20,745,30.124,322720,0,22%,32.398
binarytrees,csharp,2,20,745,30.124,264392,0,22%,32.552
binarytrees,csharp,3,12,847,0.094,17764,0,28%,0.071
binarytrees,csharp,3,16,847,1.607,144992,0,31%,1.193
binarytrees,csharp,3,20,847,47.253,2416232,0,28%,38.559
binarytrees,csharp,3,20,847,45.115,2413804,0,28%,37.567
binarytrees,csharp,3,20,847,45.271,2438980,0,28%,38.054
binarytrees,csharp,3,20,847,46.192,2232688,0,28%,38.151
binarytrees,csharp,3,20,847,45.864,2352960,0,29%,37.593
binarytrees,csharp,3,20,847,46.504,2443064,0,28%,38.606
binarytrees,csharp,4,12,1051,0.078,15352,0,36%,0.052
binarytrees,csharp,4,16,1051,2.262,34820,0,66%,0.832
binarytrees,csharp,4,20,1051,45.256,394528,0,41%,26.487
binarytrees,csharp,4,20,1051,45.334,416300,0,41%,26.566
binarytrees,csharp,4,20,1051,47.83,486120,0,44%,26.16
binarytrees,csharp,4,20,1051,45.677,338152,0,41%,26.607
binarytrees,csharp,4,20,1051,46.8,402756,0,42%,26.468
binarytrees,csharp,4,20,1051,45.318,467952,0,41%,26.38
fannkuchredux,csharp,1,10,691,0.437,9540,0,24%,0.437
fannkuchredux,csharp,1,11,691,4.696,9560,0,24%,4.698
fannkuchredux,csharp,1,12,691,62.104,9548,0,25%,62.102
fannkuchredux,csharp,1,12,691,61.636,9516,0,25%,61.644
fannkuchredux,csharp,1,12,691,62.088,9500,0,25%,62.074
fannkuchredux,csharp,1,12,691,62.26,9536,0,25%,62.244
fannkuchredux,csharp,1,12,691,61.73,9600,0,25%,61.731
fannkuchredux,csharp,1,12,691,61.854,9556,0,25%,61.866
fannkuchredux,csharp,2,10,794,0.265,9480,0,24%,0.265
fannkuchredux,csharp,2,11,794,3.104,9592,0,24%,3.097
fannkuchredux,csharp,2,12,794,42.292,9564,0,25%,42.297
fannkuchredux,csharp,2,12,794,42.292,9556,0,25%,42.289
fannkuchredux,csharp,2,12,794,42.307,9584,0,25%,42.296
fannkuchredux,csharp,2,12,794,42.354,9728,0,25%,42.358
fannkuchredux,csharp,2,12,794,42.292,9600,0,25%,42.31
fannkuchredux,csharp,2,12,794,42.307,9584,0,25%,42.317
fannkuchredux,csharp,3,10,1234,0.608,9792,0,81%,0.186
fannkuchredux,csharp,3,11,1234,7.8,9880,0,98%,1.971
fannkuchredux,csharp,3,12,1234,104.365,9848,0,99%,26.336
fannkuchredux,csharp,3,12,1234,104.287,9712,0,99%,26.315
fannkuchredux,csharp,3,12,1234,104.209,9620,0,99%,26.312
