name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,csharp,1,12,747,0.047,17884,0,9%,0.049
binarytrees,csharp,1,16,747,0.983,76144,0,22%,1.043
binarytrees,csharp,1,20,747,39.921,869052,0,23%,41.494
binarytrees,csharp,1,20,747,41.013,816196,0,22%,42.778
binarytrees,csharp,1,20,747,40.092,869000,0,23%,41.728
binarytrees,csharp,1,20,747,41.262,814604,0,23%,43.037
binarytrees,csharp,1,20,747,39.718,832516,0,22%,41.314
binarytrees,csharp,1,20,747,41.153,862092,0,23%,42.913
binarytrees,csharp,2,12,745,0.047,16132,0,27%,0.054
binarytrees,csharp,2,16,745,0.920,48988,0,23%,0.935
binarytrees,csharp,2,20,745,29.437,588252,0,23%,30.117
binarytrees,csharp,2,20,745,29.687,590144,0,23%,30.426
binarytrees,csharp,2,20,745,29.406,583292,0,23%,30.107
binarytrees,csharp,2,20,745,29.469,602460,0,23%,30.114
binarytrees,csharp,2,20,745,29.375,582424,0,23%,30.048
binarytrees,csharp,2,20,745,29.937,585648,0,23%,30.663
binarytrees,csharp,3,12,847,0.078,18936,0,21%,0.076
binarytrees,csharp,3,16,847,1.950,181420,0,34%,1.290
binarytrees,csharp,3,20,847,51.683,2467796,0,29%,41.176
binarytrees,csharp,3,20,847,50.856,2552428,0,28%,42.254
binarytrees,csharp,3,20,847,51.262,2651528,0,29%,40.983
binarytrees,csharp,3,20,847,50.201,2659740,0,28%,41.250
binarytrees,csharp,3,20,847,50.108,2578308,0,28%,41.458
binarytrees,csharp,3,20,847,51.636,2637188,0,29%,41.655
binarytrees,csharp,4,12,1051,0.047,12956,0,15%,0.060
binarytrees,csharp,4,16,1051,2.246,34012,0,65%,0.823
binarytrees,csharp,4,20,1051,42.651,401100,0,39%,26.223
binarytrees,csharp,4,20,1051,43.275,417712,0,39%,26.325
binarytrees,csharp,4,20,1051,44.523,383768,0,42%,25.542
binarytrees,csharp,4,20,1051,41.169,385776,0,40%,24.837
binarytrees,csharp,4,20,1051,43.103,421888,0,40%,25.656
binarytrees,csharp,4,20,1051,44.507,377908,0,41%,26.103
fannkuchredux,csharp,1,10,691,0.343,9652,0,25%,0.345
fannkuchredux,csharp,1,11,691,3.869,9544,0,24%,3.873
fannkuchredux,csharp,1,12,691,48.267,9544,0,25%,48.270
fannkuchredux,csharp,1,12,691,48.251,9576,0,25%,48.248
fannkuchredux,csharp,1,12,691,48.376,9516,0,25%,48.373
fannkuchredux,csharp,1,12,691,48.345,9512,0,25%,48.357
fannkuchredux,csharp,1,12,691,48.267,9524,0,25%,48.258
fannkuchredux,csharp,1,12,691,48.298,9500,0,25%,48.296
fannkuchredux,csharp,2,10,794,0.218,9680,0,23%,0.220
fannkuchredux,csharp,2,11,794,2.527,9676,0,25%,2.524
fannkuchredux,csharp,2,12,794,34.585,9660,0,25%,34.593
fannkuchredux,csharp,2,12,794,34.554,9684,0,25%,34.565
fannkuchredux,csharp,2,12,794,34.617,9712,0,24%,34.618
fannkuchredux,csharp,2,12,794,34.585,9636,0,25%,34.585
fannkuchredux,csharp,2,12,794,34.570,9692,0,25%,34.579
fannkuchredux,csharp,2,12,794,34.679,9676,0,25%,34.669
fannkuchredux,csharp,3,10,1234,0.608,9756,0,88%,0.168
fannkuchredux,csharp,3,11,1234,6.942,9848,0,97%,1.767
fannkuchredux,csharp,3,12,1234,93.211,9824,0,99%,23.484
fannkuchredux,csharp,3,12,1234,92.914,9784,0,99%,23.442
fannkuchredux,csharp,3,12,1234,92.977,9792,0,98%,23.517
fannkuchredux,csharp,3,12,1234,92.789,9812,0,99%,23.390
fannkuchredux,csharp,3,12,1234,92.711,9680,0,99%,23.427
