name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,java,2,12,704,0.156,151912,0,21%,0.14
binarytrees,java,2,16,704,0.421,384764,0,26%,0.397
binarytrees,java,2,20,704,9.173,566144,0,35%,6.513
binarytrees,java,2,20,704,9.032,558248,0,34%,6.481
binarytrees,java,2,20,704,8.908,551756,0,34%,6.455
binarytrees,java,2,20,704,9.017,557984,0,35%,6.431
binarytrees,java,2,20,704,8.908,545720,0,34%,6.425
binarytrees,java,2,20,704,8.954,549088,0,34%,6.449
binarytrees,java,3,12,688,0.078,151800,0,16%,0.131
binarytrees,java,3,16,688,0.421,384312,0,25%,0.395
binarytrees,java,3,20,688,8.798,575272,0,34%,6.386
binarytrees,java,3,20,688,8.861,557628,0,34%,6.405
binarytrees,java,3,20,688,9.001,573088,0,34%,6.465
binarytrees,java,3,20,688,9.079,574164,0,35%,6.404
binarytrees,java,3,20,688,8.986,558996,0,34%,6.421
binarytrees,java,3,20,688,8.783,554268,0,34%,6.404
binarytrees,java,4,12,1099,0.203,153852,0,21%,0.231
binarytrees,java,4,16,1099,0.499,398304,0,26%,0.437
binarytrees,java,4,20,1099,10.156,648656,0,33%,7.591
binarytrees,java,4,20,1099,10.124,673440,0,33%,7.556
binarytrees,java,4,20,1099,10.343,660324,0,34%,7.543
binarytrees,java,4,20,1099,10.031,653376,0,33%,7.51
binarytrees,java,4,20,1099,9.968,653672,0,33%,7.467
binarytrees,java,4,20,1099,10.608,676600,0,34%,7.651
binarytrees,java,6,12,760,0.094,151740,0,18%,0.12
binarytrees,java,6,16,760,0.374,384680,0,20%,0.401
binarytrees,java,6,20,760,9.095,570632,0,34%,6.518
binarytrees,java,6,20,760,9.188,563556,0,34%,6.555
binarytrees,java,6,20,760,8.736,550652,0,33%,6.466
binarytrees,java,6,20,760,8.861,566864,0,33%,6.519
binarytrees,java,6,20,760,8.939,573404,0,34%,6.487
binarytrees,java,6,20,760,9.407,576812,0,35%,6.648
binarytrees,java,7,12,1030,0.218,153828,0,25%,0.204
binarytrees,java,7,16,1030,0.983,391268,0,57%,0.433
binarytrees,java,7,20,1030,26.099,702732,0,82%,7.932
binarytrees,java,7,20,1030,25.584,732300,0,83%,7.744
binarytrees,java,7,20,1030,26.957,716572,0,83%,8.065
binarytrees,java,7,20,1030,25.881,684956,0,82%,7.896
binarytrees,java,7,20,1030,21.06,582988,0,80%,6.62
binarytrees,java,7,20,1030,26.364,715692,0,83%,7.93
fannkuchredux,java,1,10,1401,0.406,135988,0,45%,0.22
fannkuchredux,java,1,11,1401,4.524,136044,0,92%,1.229
fannkuchredux,java,1,12,1401,58.719,135984,0,98%,14.913
fannkuchredux,java,1,12,1401,58.89,135944,0,98%,14.967
fannkuchredux,java,1,12,1401,58.719,136012,0,98%,14.928
fannkuchredux,java,1,12,1401,58.5,135972,0,98%,14.852
fannkuchredux,java,1,12,1401,58.922,136040,0,98%,14.941
fannkuchredux,java,1,12,1401,62.151,136352,0,98%,15.69
fannkuchredux,java,2,10,650,0.437,136080,0,23%,0.426
