name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,java,2,12,704,0.125,72228,0,22%,0.123
binarytrees,java,2,16,704,0.718,95160,0,36%,0.503
binarytrees,java,2,20,704,16.318,370028,0,47%,8.602
binarytrees,java,2,20,704,15.023,376904,0,45%,8.202
binarytrees,java,2,20,704,15.428,376136,0,47%,8.106
binarytrees,java,2,20,704,14.867,371652,0,45%,8.081
binarytrees,java,2,20,704,15.038,369572,0,46%,8.188
binarytrees,java,2,20,704,14.695,377420,0,45%,8.008
binarytrees,java,3,12,688,0.140,71740,0,24%,0.138
binarytrees,java,3,16,688,0.718,105628,0,32%,0.544
binarytrees,java,3,20,688,14.742,372788,0,45%,8.106
binarytrees,java,3,20,688,15.054,371740,0,46%,8.094
binarytrees,java,3,20,688,16.801,383608,0,50%,8.356
binarytrees,java,3,20,688,14.274,375092,0,43%,8.206
binarytrees,java,3,20,688,15.335,368284,0,47%,8.078
binarytrees,java,3,20,688,15.506,363004,0,48%,8.088
binarytrees,java,4,12,1099,0.265,75372,0,31%,0.200
binarytrees,java,4,16,1099,0.889,115756,0,40%,0.542
binarytrees,java,4,20,1099,19.095,375516,0,51%,9.231
binarytrees,java,4,20,1099,18.783,397972,0,51%,9.173
binarytrees,java,4,20,1099,19.251,360784,0,51%,9.380
binarytrees,java,4,20,1099,18.174,380440,0,50%,9.083
binarytrees,java,4,20,1099,20.155,417480,0,53%,9.422
binarytrees,java,4,20,1099,19.313,383456,0,51%,9.369
binarytrees,java,6,12,760,0.094,72124,0,17%,0.111
binarytrees,java,6,16,760,0.640,93128,0,33%,0.476
binarytrees,java,6,20,760,16.349,369688,0,48%,8.357
binarytrees,java,6,20,760,15.460,369008,0,46%,8.303
binarytrees,java,6,20,760,16.692,381380,0,48%,8.590
binarytrees,java,6,20,760,15.491,369756,0,46%,8.283
binarytrees,java,6,20,760,15.304,374892,0,45%,8.384
binarytrees,java,6,20,760,15.460,362500,0,47%,8.228
binarytrees,java,7,12,1030,0.218,74808,0,21%,0.242
binarytrees,java,7,16,1030,1.513,133636,0,59%,0.627
binarytrees,java,7,20,1030,53.415,516640,0,90%,14.864
binarytrees,java,7,20,1030,54.866,527664,0,90%,15.321
binarytrees,java,7,20,1030,52.682,523464,0,89%,14.817
binarytrees,java,7,20,1030,45.193,475180,0,88%,12.960
binarytrees,java,7,20,1030,52.947,534704,0,90%,14.740
binarytrees,java,7,20,1030,53.586,521528,0,89%,15.065
fannkuchredux,java,1,10,1401,0.499,61108,0,61%,0.205
fannkuchredux,java,1,11,1401,4.274,60888,0,88%,1.212
fannkuchredux,java,1,12,1401,58.859,60968,0,98%,14.946
fannkuchredux,java,1,12,1401,58.719,60968,0,98%,14.876
fannkuchredux,java,1,12,1401,58.438,60908,0,98%,14.803
fannkuchredux,java,1,12,1401,58.688,61012,0,98%,14.872
fannkuchredux,java,1,12,1401,58.906,61048,0,98%,14.930
fannkuchredux,java,1,12,1401,58.828,60964,0,98%,14.916
fannkuchredux,java,2,10,650,0.374,60788,0,24%,0.363
fannkuchredux,java,2,11,650,3.089,60868,0,24%,3.103
fannkuchredux,java,2,12,650,46.301,60764,0,25%,46.320
fannkuchredux,java,2,12,650,44.507,60816,0,25%,44.501
fannkuchredux,java,2,12,650,48.142,60836,0,25%,48.153
fannkuchredux,java,2,12,650,39.983,61048,0,25%,40.007
fannkuchredux,java,2,12,650,48.563,60812,0,24%,48.574
fannkuchredux,java,2,12,650,39.983,60764,0,25%,40.025
fannkuchredux,java,3,10,1396,0.312,60708,0,24%,0.321
fannkuchredux,java,3,11,1396,2.824,60716,0,24%,2.836
fannkuchredux,java,3,12,1396,35.553,60592,0,25%,35.522
fannkuchredux,java,3,12,1396,35.319,60796,0,25%,35.341
fannkuchredux,java,3,12,1396,35.802,60604,0,25%,35.778
fannkuchredux,java,3,12,1396,35.381,60604,0,25%,35.396
fannkuchredux,java,3,12,1396,35.506,60588,0,25%,35.529
fannkuchredux,java,3,12,1396,35.365,60600,0,24%,35.385
fasta,java,2,250000,1397,0.172,61084,0,23%,0.188
fasta,java,2,2500000,1397,0.686,63004,0,24%,0.651
fasta,java,2,25000000,1397,5.522,62020,0,21%,5.510
fasta,java,2,25000000,1397,4.508,62100,0,25%,4.431
fasta,java,2,25000000,1397,4.446,62096,0,25%,4.392
